"","state","year","month","tavg","tmax","tmin","pcp"
"170","AL",1964,10,59.8,72.8,46.8,4.8
"171","AL",1964,11,56.3,69,43.6,3.7
"172","AL",1964,12,48.3,58.9,37.8,5.2
"173","AL",1964,2,42.5,53.4,31.7,4.5
"174","AL",1964,3,54.1,66.9,41.4,8.1
"175","AL",1964,4,65,76.8,53.3,11.5
"176","AL",1964,5,71.1,84,58.2,2.6
"177","AL",1964,6,78.4,90.7,66.2,3.4
"178","AL",1964,7,78.1,88.2,68,7.2
"179","AL",1964,8,78.1,88.7,67.5,4.7
"180","AL",1964,9,74.6,86.7,62.4,3.5
"181","AL",1965,1,46.5,58.8,34.2,4.2
"182","AL",1965,10,62.1,74.8,49.3,2.8
"183","AL",1965,11,56.9,69.1,44.7,1.8
"184","AL",1965,12,46.6,59.3,34,3.1
"185","AL",1965,2,46.4,58.2,34.4,6.2
"186","AL",1965,3,51.3,62,40.6,6.8
"187","AL",1965,4,66.1,78.6,53.5,2.5
"188","AL",1965,5,72.6,86.8,58.4,1.1
"189","AL",1965,6,75.7,86.6,64.8,5.6
"190","AL",1965,7,78.8,89.5,68.1,5.9
"191","AL",1965,8,78.4,89.3,67.4,4.3
"192","AL",1965,9,74.8,84.9,64.6,3.9
"193","AL",1966,1,40,49.3,30.6,5.9
"194","AL",1966,10,61.5,74.3,48.7,4
"195","AL",1966,11,54.4,67.2,41.7,3.3
"196","AL",1966,12,45.8,56.4,35.2,4.7
"197","AL",1966,2,46.6,57.5,35.8,8.5
"198","AL",1966,3,53.2,65.9,40.6,4
"199","AL",1966,4,63.4,76.2,50.6,4.4
"200","AL",1966,5,69.4,80.6,58.1,4.9
"201","AL",1966,6,74.3,86.6,61.8,2.4
"202","AL",1966,7,80.9,92.7,69.1,4
"203","AL",1966,8,77.5,88.1,66.9,4.9
"204","AL",1966,9,72.9,83.9,62,4.3
"205","AL",1967,1,45.4,56.8,34,3.7
"206","AL",1967,10,60.7,75.6,45.8,4
"207","AL",1967,11,50.4,64,36.8,3.7
"208","AL",1967,12,50.4,60.6,40.3,8.3
"209","AL",1967,2,44.3,55.6,32.9,4.7
"210","AL",1967,3,58.7,72.6,44.8,1.9
"211","AL",1967,4,67.9,81.2,54.6,2.3
"212","AL",1967,5,68.8,81.3,56.3,5.5
"213","AL",1967,6,76.3,87.8,64.9,4.4
"214","AL",1967,7,76.1,86.4,65.7,6.9
"215","AL",1967,8,75.2,85.3,65.2,6.7
"216","AL",1967,9,68.8,80.1,57.5,3.3
"217","AL",1968,1,42.3,53.1,31.5,4.6
"218","AL",1968,10,63.6,77.1,50,1.3
"219","AL",1968,11,50.8,62.8,38.8,4.3
"220","AL",1968,12,42.5,54.3,30.7,6.8
"221","AL",1968,2,40,51.9,28,1.8
"222","AL",1968,3,52,66.1,38,3.6
"223","AL",1968,4,63.8,76.4,51.1,5
"224","AL",1968,5,69,81.3,56.8,4
"225","AL",1968,6,77.6,91,64.2,1.8
"226","AL",1968,7,78.7,89.9,67.5,5.2
"227","AL",1968,8,79.4,91.2,67.5,3.6
"228","AL",1968,9,72.3,85.3,59.4,2.7
"229","AL",1969,1,43.3,53.6,33,3.5
"230","AL",1969,10,64.1,75.4,52.7,2.5
"231","AL",1969,11,50.2,64.4,35.9,1.9
"232","AL",1969,12,43.5,55.1,31.9,6.4
"233","AL",1969,2,45.8,56.9,34.8,4.2
"234","AL",1969,3,47.6,59.8,35.3,5.1
"235","AL",1969,4,64,76.8,51.1,5.4
"236","AL",1969,5,69.9,82.1,57.6,5.9
"237","AL",1969,6,77.8,90.6,65,2.4
"238","AL",1969,7,81.1,92.3,69.9,5.4
"239","AL",1969,8,77.1,88.6,65.5,4.9
"240","AL",1969,9,72,83.6,60.5,4.4
"241","AL",1970,1,38,48.3,27.6,3.1
"242","AL",1970,10,64.2,75.3,53,6.3
"243","AL",1970,11,49.3,62.1,36.5,2.2
"244","AL",1970,12,49.5,61.4,37.4,4.7
"245","AL",1970,2,44.3,57.9,30.7,3.7
"246","AL",1970,3,52.7,64.3,41.2,7.7
"247","AL",1970,4,65.8,78.2,53.3,4.7
"248","AL",1970,5,70.8,84.5,57.2,3.1
"249","AL",1970,6,75.3,86.2,64.3,5.9
"250","AL",1970,7,79,91,67,4
"251","AL",1970,8,79.1,89.2,69.1,6.2
"252","AL",1970,9,77.4,89.2,65.6,1.8
"253","AL",1971,1,45,55.8,34.1,4
"254","AL",1971,10,67.7,79.5,55.9,1
"255","AL",1971,11,52.2,65.2,39.1,2.4
"256","AL",1971,12,54.9,64.3,45.5,7.7
"257","AL",1971,2,45.8,58.4,33.2,7.7
"258","AL",1971,3,50,62.5,37.4,8.7
"259","AL",1971,4,61.2,76.3,46.1,4
"260","AL",1971,5,66.6,79.5,53.6,4
"261","AL",1971,6,78,90.2,65.7,3.7
"262","AL",1971,7,78,88.2,67.9,7.4
"263","AL",1971,8,77.7,88,67.4,4
"264","AL",1971,9,75.2,85.3,65.1,4.8
"265","AL",1972,1,49.1,60.4,37.7,8.5
"266","AL",1972,10,63.4,75.5,51.2,2.9
"267","AL",1972,11,50.7,60.5,41,4.6
"268","AL",1972,12,49.1,59.2,39,8.2
"269","AL",1972,2,47,58,36,3.5
"270","AL",1972,3,55.1,68.1,42.1,5.9
"271","AL",1972,4,63.5,76.9,50.1,2.3
"272","AL",1972,5,68.7,80.6,56.9,4.4
"273","AL",1972,6,75,87.4,62.6,4.5
"274","AL",1972,7,77.6,89.2,66.1,4.5
"275","AL",1972,8,79.1,90.9,67.3,2.4
"276","AL",1972,9,77.2,89.4,64.9,3.7
"277","AL",1973,1,43.2,53.6,32.8,5.9
"278","AL",1973,10,66.7,79.6,53.7,1.8
"279","AL",1973,11,57.6,70,45.2,4.9
"280","AL",1973,12,46,57.9,34,6.7
"281","AL",1973,2,44.6,56.9,32.4,3.9
"282","AL",1973,3,59.9,70.4,49.3,11.7
"283","AL",1973,4,60.1,71.2,49,6.8
"284","AL",1973,5,67.7,80.3,55.1,6.6
"285","AL",1973,6,76.9,87.8,65.9,5.5
"286","AL",1973,7,79.9,90.4,69.4,5.4
"287","AL",1973,8,77.6,88.7,66.4,3.6
"288","AL",1973,9,76.5,87.1,65.8,3.7
"289","AL",1974,1,55,64,45.9,8.2
"290","AL",1974,10,60.3,75.3,45.2,1.2
"291","AL",1974,11,52.6,66,39.3,3.9
"292","AL",1974,12,46.7,57.5,36,5.9
"293","AL",1974,2,47.7,60.4,35,5.2
"294","AL",1974,3,60.1,72.8,47.4,3.9
"295","AL",1974,4,62,75.7,48.4,5.9
"296","AL",1974,5,71.8,83.4,60.3,5
"297","AL",1974,6,73.4,85,61.8,4
"298","AL",1974,7,78.9,90.4,67.3,4.3
"299","AL",1974,8,77.8,88.4,67.1,6
"300","AL",1974,9,70.9,80.7,61,6.5
"301","AL",1975,1,49,60.2,37.9,6.6
"302","AL",1975,10,64.3,75.7,52.8,6.5
"303","AL",1975,11,54.4,66.4,42.3,3.2
"304","AL",1975,12,45.2,56.5,33.9,4.7
"305","AL",1975,2,51.1,62.6,39.5,7.1
"306","AL",1975,3,53.7,66,41.4,8.6
"307","AL",1975,4,60.9,73.5,48.2,6.7
"308","AL",1975,5,72.3,83.2,61.3,5.2
"309","AL",1975,6,76.1,87.3,64.9,5.2
"310","AL",1975,7,78,88,68,8.2
"311","AL",1975,8,78.5,88.6,68.5,5.5
"312","AL",1975,9,70.4,80.8,60.1,6.7
"313","AL",1976,1,40.6,52.8,28.3,4.4
"314","AL",1976,10,57.9,70.5,45.3,3.6
"315","AL",1976,11,45.9,58.3,33.4,4.4
"316","AL",1976,12,42.1,54.2,29.9,4.6
"317","AL",1976,2,53,67.2,38.8,2.6
"318","AL",1976,3,58.2,69.8,46.6,10.4
"319","AL",1976,4,62.7,77.4,48,1.6
"320","AL",1976,5,65.4,76.6,54.1,8
"321","AL",1976,6,74.6,85.9,63.2,4.3
"322","AL",1976,7,78.6,90,67.1,4.5
"323","AL",1976,8,77.1,89,65.2,3.3
"324","AL",1976,9,72,83,61,3.7
"325","AL",1977,1,33.3,43.6,23,4.9
"326","AL",1977,10,60.3,72.9,47.6,4.5
"327","AL",1977,11,55.9,65.9,45.9,6.3
"328","AL",1977,12,44.8,56,33.5,3.2
"329","AL",1977,2,45.2,59.1,31.2,3.5
"330","AL",1977,3,57.5,69.4,45.7,9.8
"331","AL",1977,4,64.9,78.5,51.3,4.3
"332","AL",1977,5,71.9,85.2,58.7,2.1
"333","AL",1977,6,79.1,92.6,65.7,2.6
"334","AL",1977,7,81.3,93,69.7,5
"335","AL",1977,8,79.6,90.4,68.8,4.2
"336","AL",1977,9,75.7,85.9,65.5,7
"337","AL",1978,1,35.6,44.4,26.8,7
"338","AL",1978,10,62.2,77.6,46.8,0.4
"339","AL",1978,11,59.2,72.3,46.1,3.3
"340","AL",1978,12,46.6,59.2,34,5.3
"341","AL",1978,2,38.8,50.3,27.3,1.9
"342","AL",1978,3,51.2,63.6,38.8,3.9
"343","AL",1978,4,63.9,78,49.7,3.8
"344","AL",1978,5,70,81.6,58.4,8.2
"345","AL",1978,6,78,89.3,66.6,5
"346","AL",1978,7,80.7,92.1,69.4,4.3
"347","AL",1978,8,79.3,90.2,68.4,4
"348","AL",1978,9,76.9,88.6,65.2,2
"349","AL",1979,1,37.8,47.8,27.8,7.6
"350","AL",1979,10,62.4,76.7,48.1,1.5
"351","AL",1979,11,52.8,65.8,39.8,5.8
"352","AL",1979,12,45.6,57.6,33.7,2.5
"353","AL",1979,2,43.6,53.4,33.8,6.6
"354","AL",1979,3,55.8,68.9,42.6,6.6
"355","AL",1979,4,63.6,75.1,52.2,10.8
"356","AL",1979,5,69.5,80.7,58.2,4.3
"357","AL",1979,6,75.2,86.8,63.6,2.6
"358","AL",1979,7,79,88.4,69.5,7.5
"359","AL",1979,8,78.4,89.6,67.3,4.1
"360","AL",1979,9,72.6,81.9,63.3,7.4
"361","AL",1980,1,46.7,55.8,37.6,5.5
"362","AL",1980,10,60.2,73.5,47,3.7
"363","AL",1980,11,52,64.1,39.9,3.1
"364","AL",1980,12,45,58,32,1.1
"365","AL",1980,2,42.7,54.7,30.8,2.4
"366","AL",1980,3,52.6,64.2,41,13.8
"367","AL",1980,4,60.6,73.7,47.5,7.6
"368","AL",1980,5,70.2,81.1,59.2,7
"369","AL",1980,6,77.4,89.4,65.4,3.2
"370","AL",1980,7,82.6,94.8,70.5,2.9
"371","AL",1980,8,81.5,94,69.1,2.5
"372","AL",1980,9,78.1,90.3,65.9,5.1
"373","AL",1981,1,39.5,52.2,26.8,1.3
"374","AL",1981,10,61.8,74.2,49.5,3.1
"375","AL",1981,11,54.8,68.8,40.7,1.7
"376","AL",1981,12,43.1,53.5,32.8,6.2
"377","AL",1981,2,47.2,59.5,35,6.6
"378","AL",1981,3,52.2,66,38.5,5.7
"379","AL",1981,4,66.8,80,53.7,2.9
"380","AL",1981,5,67.3,80,54.5,3.8
"381","AL",1981,6,79.9,91.1,68.7,3.4
"382","AL",1981,7,81.4,93,69.8,3.8
"383","AL",1981,8,78.3,88.9,67.6,4.7
"384","AL",1981,9,71.5,84.9,58,2
"385","AL",1982,1,42.9,54.4,31.4,6.5
"386","AL",1982,10,64.1,76.7,51.5,2.6
"387","AL",1982,11,55.1,66.7,43.4,5.6
"388","AL",1982,12,52.4,62,42.8,8.2
"389","AL",1982,2,48.4,59.6,37.2,7.6
"390","AL",1982,3,58.5,70,47,2.9
"391","AL",1982,4,60.4,71.9,49,7.5
"392","AL",1982,5,71.7,84.7,58.6,2.9
"393","AL",1982,6,76.3,88,64.6,5
"394","AL",1982,7,79.5,90,69,6
"395","AL",1982,8,78.6,88.8,68.4,3.7
"396","AL",1982,9,72.2,84.2,60.2,2
"397","AL",1983,1,42.1,52.1,32.2,4.3
"398","AL",1983,10,64,76.1,51.9,2.4
"399","AL",1983,11,53.2,66,40.4,7.4
"400","AL",1983,12,41.8,52,31.6,9.2
"401","AL",1983,2,46.6,56.4,36.8,7.7
"402","AL",1983,3,52,63.2,40.8,7.7
"403","AL",1983,4,57.8,70.4,45.2,9.4
"404","AL",1983,5,68.6,80.5,56.7,6.3
"405","AL",1983,6,74.5,84.6,64.4,5.9
"406","AL",1983,7,80.6,92,69.1,1.9
"407","AL",1983,8,81.1,93,69.2,3
"408","AL",1983,9,72,83.8,60.2,4.6
"409","AL",1984,1,40.3,51.7,29,4
"410","AL",1984,10,69.5,81,58,5.2
"411","AL",1984,11,51.8,64.5,39,3.8
"412","AL",1984,12,55.1,66.6,43.5,2.7
"413","AL",1984,2,48.6,61.7,35.5,4
"414","AL",1984,3,53.7,66.8,40.7,4.9
"415","AL",1984,4,61,72.8,49.3,5.4
"416","AL",1984,5,68.8,81.3,56.2,5.8
"417","AL",1984,6,77,90.2,64,2.3
"418","AL",1984,7,78.2,89,67.5,5.7
"419","AL",1984,8,77.3,87.4,67.2,5.6
"420","AL",1984,9,72.5,85.7,59.3,0.6
"421","AL",1985,1,37.2,48.5,25.9,3.9
"422","AL",1985,10,67.6,77.4,57.8,6
"423","AL",1985,11,61.2,71.2,51.4,2.9
"424","AL",1985,12,41.6,54,29.1,3.5
"425","AL",1985,2,45.5,56.3,34.8,6.4
"426","AL",1985,3,58.7,70.9,46.4,2.4
"427","AL",1985,4,64,77.4,50.6,2.9
"428","AL",1985,5,70.6,82.4,58.9,4.1
"429","AL",1985,6,77.5,89,66,3.8
"430","AL",1985,7,78.5,88.8,68.2,7.1
"431","AL",1985,8,78.4,88.6,68.1,4.7
"432","AL",1985,9,72.7,84.4,61,3.1
"433","AL",1986,1,43.1,56.2,30,2.1
"434","AL",1986,10,64.4,75.6,53.1,4.3
"435","AL",1986,11,58.8,67.9,49.7,8.8
"436","AL",1986,12,45.9,54.5,37.3,3.7
"437","AL",1986,2,51.5,63.4,39.6,3.7
"438","AL",1986,3,55.4,69.4,41.3,4.4
"439","AL",1986,4,62.5,78,47,0.7
"440","AL",1986,5,71.4,83.2,59.5,4.9
"441","AL",1986,6,79,90.3,67.8,2.6
"442","AL",1986,7,82.3,94.2,70.3,3.8
"443","AL",1986,8,78.4,89.7,67,4.4
"444","AL",1986,9,76.4,86.8,65.8,3.8
"445","AL",1987,1,43,53.5,32.5,6
"446","AL",1987,10,57.8,74.2,41.4,0.5
"447","AL",1987,11,55.7,69,42.5,4
"448","AL",1987,12,50.4,61.5,39.3,3.9
"449","AL",1987,2,48.2,58,38.5,7.2
"450","AL",1987,3,55.7,67.7,43.6,4.9
"451","AL",1987,4,60.2,74.6,45.9,0.9
"452","AL",1987,5,73.4,84.5,62.4,4.4
"453","AL",1987,6,77,87.9,66,5.8
"454","AL",1987,7,80.2,91.8,68.6,3.2
"455","AL",1987,8,81.3,92.6,70,3.7
"456","AL",1987,9,73.6,85.9,61.3,2.9
"457","AL",1988,1,40.7,50.6,30.8,5.3
"458","AL",1988,10,59.2,71.6,46.8,3.2
"459","AL",1988,11,56.5,68.4,44.6,5.4
"460","AL",1988,12,46.8,59.3,34.4,2.9
"461","AL",1988,2,45.4,58.1,32.6,3.9
"462","AL",1988,3,54.3,67.4,41.2,4
"463","AL",1988,4,62.8,75.8,49.7,3.9
"464","AL",1988,5,68.3,82.9,53.7,1.7
"465","AL",1988,6,77.1,91.2,63,1.2
"466","AL",1988,7,78.9,89.1,68.8,6.6
"467","AL",1988,8,80.4,91.2,69.5,3.4
"468","AL",1988,9,74.5,83.7,65.3,9.1
"469","AL",1989,1,50.6,62.1,39,4.4
"470","AL",1989,10,62.3,75.4,49.2,3
"471","AL",1989,11,54,66.6,41.3,6
"472","AL",1989,12,38.3,49.1,27.6,5.8
"473","AL",1989,2,48.1,58,38.1,4.3
"474","AL",1989,3,57.3,68.5,46,6.5
"475","AL",1989,4,61.1,74.3,47.9,4.4
"476","AL",1989,5,68.6,80,57.1,4.5
"477","AL",1989,6,76,85.6,66.5,10.9
"478","AL",1989,7,78.6,87.8,69.5,7.7
"479","AL",1989,8,78.6,89.6,67.6,2.4
"480","AL",1989,9,72.9,82.8,63,4.8
"481","AL",1990,1,49.8,61,38.6,8.4
"482","AL",1990,10,64,77.7,50.3,2.6
"483","AL",1990,11,56.4,71.3,41.6,2.9
"484","AL",1990,12,50.9,62,39.8,6.4
"485","AL",1990,2,54.7,65.8,43.6,8.5
"486","AL",1990,3,58.1,70.2,45.9,8.9
"487","AL",1990,4,61.4,74.9,47.8,3.3
"488","AL",1990,5,69.4,81,57.8,4.9
"489","AL",1990,6,77.6,89.8,65.5,2.9
"490","AL",1990,7,79.5,90.5,68.4,3.7
"491","AL",1990,8,80.9,93.9,67.9,1.9
"492","AL",1990,9,76.3,90,62.5,1.9
"493","AL",1991,1,45.8,53.9,37.6,7.3
"494","AL",1991,10,64.6,78.1,51.1,0.9
"495","AL",1991,11,50.4,63,37.7,4.3
"496","AL",1991,12,49.8,60.8,38.8,5.3
"497","AL",1991,2,50.4,61.6,39.4,5.2
"498","AL",1991,3,56.9,69.2,44.6,7
"499","AL",1991,4,65.9,76.5,55.2,6.8
"500","AL",1991,5,73.2,82.2,64.3,9.5
"501","AL",1991,6,76.8,86.8,66.8,4.9
"502","AL",1991,7,80.5,90.6,70.3,4.4
"503","AL",1991,8,78.8,89.3,68.4,3.9
"504","AL",1991,9,74.4,86.3,62.5,3.2
"505","AL",1992,1,44.1,54.3,33.9,6.1
"506","AL",1992,10,61.9,74.4,49.4,2.5
"507","AL",1992,11,52.4,63.2,41.6,9.4
"508","AL",1992,12,47.1,55.9,38.3,5.7
"509","AL",1992,2,51.4,63.5,39.3,5.9
"510","AL",1992,3,54.9,67.8,42,4
"511","AL",1992,4,61.5,74.5,48.5,2.9
"512","AL",1992,5,68,81,55,1.9
"513","AL",1992,6,74.9,85.4,64.3,5.4
"514","AL",1992,7,79.9,89.9,69.8,6
"515","AL",1992,8,75.8,85.7,66,5.8
"516","AL",1992,9,73.4,83,63.8,3.6
"517","AL",1993,1,48.8,58,39.6,6.2
"518","AL",1993,10,62.8,74.8,50.8,3.7
"519","AL",1993,11,51.7,64.2,39.2,3.8
"520","AL",1993,12,45.3,55.7,34.9,4.2
"521","AL",1993,2,46.2,57.8,34.7,3.7
"522","AL",1993,3,51.7,63,40.4,6.5
"523","AL",1993,4,58.7,71.6,45.9,3.2
"524","AL",1993,5,68.8,80.3,57.3,3.8
"525","AL",1993,6,77.6,89.1,66.1,3.3
"526","AL",1993,7,82.2,93.8,70.5,2.8
"527","AL",1993,8,80.1,90.9,69.3,4.7
"528","AL",1993,9,74,85.9,62.2,3.8
"529","AL",1994,1,40.8,50.9,30.8,5.3
"530","AL",1994,10,64,73.6,54.2,4.9
"531","AL",1994,11,58,69.6,46.4,3.5
"532","AL",1994,12,49.9,59.8,40,3.6
"533","AL",1994,2,50.3,62.2,38.3,5
"534","AL",1994,3,55.8,69.2,42.3,7.2
"535","AL",1994,4,64.7,78.2,51.3,4.4
"536","AL",1994,5,68.4,80.6,56.2,3.2
